created_at,id_str,full_text,lang,location
2023-11-01,1719701125346267186,ketua dpp partai bangkit bangsa pkb daniel johan koalisi ubah antisipasi khawatir ketua dpp pks mard,in,
2023-11-01,1719679049700872517,partai bangkit bangsa juang santri pesantren,in,
2023-11-01,1719659647211315225,partai bangkit bangsa,in,BLITAR
2023-11-01,1719645817521484091,pasang anies muhaimin usung partai nasdem partai bangkit bangsa pkb partai adil sejahtera pks partai ummat bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719637665665147224,pasang anies muhaimin usung partai nasdem partai bangkit bangsa pkb partai adil sejahtera pks partai ummat bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719614221984645238,pasang anies muhaimin usung partai nasdem partai bangkit bangsa pkb partai adil sejahtera pks partai ummat bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719588971724833271,ketua tum partai bangkit bangsa pkb cawapres pasang anies baswedan muhaimin iskandar cak imin acara ma,in,
2023-11-02,1720099704187605447,isi berita ketua partai bangkit bangsa pkb buruk sistem birokrasi menteri sangka korupsi,in,Indonesia-West Java  🇲🇨
2023-11-02,1720039360924672192,pasang anies muhaimin usung partai nasdem partai bangkit bangsa pkb partai adil sejahtera pks partai ummat bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-02,1720023947222323265,ketua dewan pimpin pusat dpp partai bangkit bangsa pkb yanuar prihatin anggota tim nasional timnas menang anies baswedan muhaimin iskandar alias cak imin amin otak atik sumber,in,Jakarta - Indonesia
2023-11-02,1719964096907600036,pimpin bawaslu kota jakarta selatan serta staf silaturrahmi sosialisasi kantor dpc partai bangkit bangsa pkb jakarta selatan jelang proses tahap kampanye milu 2024 partai partai politik patuh regulasi tahap kampanye,in,Jl Wr Buncit Raya 11 Jak-Sel
2023-11-03,1720444283118129656,partai bangkit bangsa pkb pasang amin titip pesan presiden jaga netralitas pilpres 2024 nuhammadiyah dpp pkb aminjaganetralitas aniesmuhaimin2024,in,"Kepanjen, Kabupaten Malang"
2023-11-03,1720444152352317505,partai bangkit bangsa pkb pasang amin titip pesan presiden jaga netralitas pilpres 2024 dwitunggal dpp pkb aminjaganetralitas aniesmuhaimin2024,in,"Kepanjen, Kabupaten Malang"
2023-11-03,1720444011536847105,partai bangkit bangsa pkb pasang amin titip pesan presiden jaga netralitas pilpres 2024 adil makmur sejahtera dpp pkb aminjaganetralitas aniesmuhaimin2024,in,"Kepanjen, Kabupaten Malang"
2023-11-03,1720443868955771151,partai bangkit bangsa pkb pasang amin titip pesan presiden jaga netralitas pilpres 2024 niat dpp pkb aminjaganetralitas aniesmuhaimin2024,in,"Kepanjen, Kabupaten Malang"
2023-11-03,1720443767269064972,partai bangkit bangsa pkb pasang amin titip pesan presiden jaga netralitas pilpres 2024 2024 dpp pkb aminjaganetralitas aniesmuhaimin2024,in,"Kepanjen, Kabupaten Malang"
2023-11-03,1720443644203925558,partai bangkit bangsa pkb pasang amin titip pesan presiden jaga netralitas pilpres 2024 politik riang gembira dpp pkb aminjaganetralitas aniesmuhaimin2024,in,"Kepanjen, Kabupaten Malang"
2023-11-03,1720443534329983381,partai bangkit bangsa pkb pasang amin titip pesan presiden jaga netralitas pilpres 2024 netral dpp pkb aminjaganetralitas aniesmuhaimin2024,in,"Kepanjen, Kabupaten Malang"
