created_at,id_str,full_text,lang,location
2023-11-01,1719701125346267186,ketua dpp partai kebangkitan bangsa pkb daniel johan menyatakan bahwa koalisi perubahan tentu harus mengantisipasi kekhawatiran ketua dpp pks mard,in,
2023-11-01,1719679049700872517,partai kebangkitan bangsa yang selama ini yang memperjuangkan santri dan pesantren,in,
2023-11-01,1719659647211315225,partai kebangkitan bangsa,in,BLITAR
2023-11-01,1719645817521484091,pasangan anies muhaimin diusung oleh partai nasdem partai kebangkitan bangsa pkb partai keadilan sejahtera pks dan partai ummat bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719637665665147224,pasangan anies muhaimin diusung oleh partai nasdem partai kebangkitan bangsa pkb partai keadilan sejahtera pks dan partai ummat bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719614221984645238,pasangan anies muhaimin diusung oleh partai nasdem partai kebangkitan bangsa pkb partai keadilan sejahtera pks dan partai ummat bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719588971724833271,ketua umum ketum partai kebangkitan bangsa pkb sekaligus bakal cawapres pasangan anies baswedan muhaimin iskandar cak imin menyebutkan acara ma,in,
2023-11-02,1720099704187605447,isi berita menurut ketua umum partai kebangkitan bangsa pkb itu buruknya sistem birokrasi membuat siapa pun yang menjadi menteri harus siap jadi tersangka kasus korupsi,in,Indonesia-West Java  🇲🇨
2023-11-02,1720039360924672192,pasangan anies muhaimin diusung oleh partai nasdem partai kebangkitan bangsa pkb partai keadilan sejahtera pks dan partai ummat bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-02,1720023947222323265,ketua dewan pimpinan pusat dpp partai kebangkitan bangsa pkb yanuar prihatin mengatakan keanggotaan tim nasional timnas pemenangan anies baswedan dan muhaimin iskandar alias cak imin amin masih diotak atik sumber,in,Jakarta - Indonesia
2023-11-02,1719964096907600036,pimpinan bawaslu kota jakarta selatan beserta staf melakukan silaturrahmi dan sosialisasi di kantor dpc partai kebangkitan bangsa pkb jakarta selatan menjelang proses tahapan kampanye pemilu tahun 2024 nanti agar partai partai politik untuk mematuhi regulasi tahapan kampanye,in,Jl Wr Buncit Raya 11 Jak-Sel
2023-11-03,1720444283118129656,partai kebangkitan bangsa pkb pasangan amin menitipkan pesan kepada presiden untuk menjaga netralitas dalam pilpres 2024 nuhammadiyah dpp_pkb aminjaganetralitas aniesmuhaimin2024,in,"Kepanjen, Kabupaten Malang"
2023-11-03,1720444152352317505,partai kebangkitan bangsa pkb pasangan amin menitipkan pesan kepada presiden untuk menjaga netralitas dalam pilpres 2024 dwitunggal dpp_pkb aminjaganetralitas aniesmuhaimin2024,in,"Kepanjen, Kabupaten Malang"
2023-11-03,1720444011536847105,partai kebangkitan bangsa pkb pasangan amin menitipkan pesan kepada presiden untuk menjaga netralitas dalam pilpres 2024 adil makmur sejahtera dpp_pkb aminjaganetralitas aniesmuhaimin2024,in,"Kepanjen, Kabupaten Malang"
2023-11-03,1720443868955771151,partai kebangkitan bangsa pkb pasangan amin menitipkan pesan kepada presiden untuk menjaga netralitas dalam pilpres 2024 niat baik dpp_pkb aminjaganetralitas aniesmuhaimin2024,in,"Kepanjen, Kabupaten Malang"
2023-11-03,1720443767269064972,partai kebangkitan bangsa pkb pasangan amin menitipkan pesan kepada presiden untuk menjaga netralitas dalam pilpres 2024 menuju 2024 dpp_pkb aminjaganetralitas aniesmuhaimin2024,in,"Kepanjen, Kabupaten Malang"
2023-11-03,1720443644203925558,partai kebangkitan bangsa pkb pasangan amin menitipkan pesan kepada presiden untuk menjaga netralitas dalam pilpres 2024 politik riang gembira dpp_pkb aminjaganetralitas aniesmuhaimin2024,in,"Kepanjen, Kabupaten Malang"
2023-11-03,1720443534329983381,partai kebangkitan bangsa pkb pasangan amin menitipkan pesan kepada presiden untuk menjaga netralitas dalam pilpres 2024 netral dpp_pkb aminjaganetralitas aniesmuhaimin2024,in,"Kepanjen, Kabupaten Malang"
2023-11-03,1720443428381843530,partai kebangkitan bangsa pkb pasangan amin menitipkan pesan kepada presiden untuk menjaga netralitas dalam pilpres 2024 demokrasi 2024 dpp_pkb aminjaganetralitas aniesmuhaimin2024,in,"Kepanjen, Kabupaten Malang"
2023-11-03,1720443290326372354,partai kebangkitan bangsa pkb pasangan amin menitipkan pesan kepada presiden untuk menjaga netralitas dalam pilpres 2024 cak imin sportif dpp_pkb aminjaganetralitas aniesmuhaimin2024,in,"Kepanjen, Kabupaten Malang"
2023-11-03,1720443165185040642,bismillah partai kebangkitan bangsa pkb pasangan amin menitipkan pesan kepada presiden untuk menjaga netralitas dalam pilpres 2024 dpp_pkb aminjaganetralitas aniesmuhaimin2024,in,"Kepanjen, Kabupaten Malang"
2023-11-03,1720443034419208698,partai kebangkitan bangsa pkb pasangan amin menitipkan pesan kepada presiden untuk menjaga netralitas dalam pilpres 2024 dpp_pkb aminjaganetralitas aniesmuhaimin2024 1,in,"Kepanjen, Kabupaten Malang"
2023-11-03,1720427203559825576,akan tetapi ketua umum partai kebangkitan bangsa pkb ini menuturkan bahwa dirinya akan berupaya melakukan koordinasi dengan pimpinan dpr ri lainnya terkait agenda kampanye threadtvone,in,"Pulo Gadung, Indonesia"
2023-11-03,1720398944134648236,ketua umum partai kebangkitan bangsa pkb muhaimin iskandar mengatakan dukungan dari cendekiawan muslim din syamsuddin beserta para kiai dan ulama saya,in,
2023-11-03,1720381341500657815,partai kebangkitan bangsa pkb partai persatuan pembangunan pulang pergi partai hati nurani rakyat hanura partai solidaritas indonesia psi,in,"DKI Jakarta, Indonesia"
2023-11-03,1720355291504783871,bakal calon wakil presiden dari koalisi perubahan sekaligus ketua umum partai kebangkitan bangsa pkb muhaimin iskandar cak imin mensyukuri dukung,in,
2023-11-03,1720334747954753752,pasangan anies muhaimin diusung oleh partai nasdem partai kebangkitan bangsa pkb partai keadilan sejahtera pks dan partai ummat bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-03,1720327099373011110,part 3 selain pkr banyak je parti politik negara islam lain dalam liberal international pdi perjuangan dan partai kebangkitan bangsa pun ada dalam li melalui cald pkb ini islamis related dengan nahdlatul ulama dan pas tu kerengga je kalau dibandingkan dengan pkb,in,
2023-11-03,1720326124046262350,temanpemilih kawankpumakassar kpu kota makassar lakukan pencocokan dummy surat suara pemilu 2024 di sekretariat partai kebangkitan bangsa pkb,in,Kota Makassar
2023-11-03,1720278338256896041,komposisi calon anggota dprd partai kebangkitan bangsa kota ternate mohon do a dukungannya,in,"Kota Ternate, Maluku Utara"
