created_at,id_str,full_text,lang,location
2023-11-01,1719645824047788466,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719637674661912853,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-01,1719614232235475176,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-02,1720045422960595334,jakarta partai golong karya golkar usul nama masuk jajar tim kampanye nasional tkn prabowo subianto gibran rakabuming raka bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-02,1720039369808154652,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-02,1720016265874710762,partai golong karya cari pimpin karya,in,
2023-11-02,1719989946898112804,jakarta partai golong karya golkar usul nama masuk jajar tim kampanye nasional tkn prabowo subianto gibran rakabuming raka bersamaindonesiamaju prabowogibranistimewa prabowo subianto,in,
2023-11-03,1720401784680890878,pimpin bawaslu kota jakarta selatan serta staf silaturrahmi sosialisasi kantor dpc partai golong karya golkar jakarta selatan jelang proses tahap kampanye milu 2024 partai partai politik patuh regulasi tahap kampanye,in,Jl Wr Buncit Raya 11 Jak-Sel
2023-11-03,1720381338216485223,pilih baik amin yra cc partai oalisi diri puluh partai politik partai demokrasi indonesia juang pdi p partai golong karya golkar partai nasional demokrat nasdem,in,"DKI Jakarta, Indonesia"
2023-11-03,1720348092560724015,partai golong karya golkar usul nama masuk jajar tim kampanye nasional tkn prabowo subianto gibran rakabuming raka bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-03,1720338799799185778,partai golong karya golkar usul nama masuk jajar tim kampanye nasional tkn prabowo subianto gibran rakabuming raka bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-03,1720337753009963448,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-03,1720334758482464844,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan partai demokrat partai bintang pbb bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-03,1720330266340892837,jakarta partai golong karya golkar usul nama masuk jajar tim kampanye nasional tkn prabowo subianto gibran rakabuming raka bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-03,1720329194574639574,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-03,1720287454920626289,zaman orba kumpul2 kantor partai golong karya,in,Semarang
2023-11-04,1720780257048011032,temanpemilih umum daftar calon dct anggota dewan wakil rakyat daerah kabupaten belitung timur pilih 2024 partai golong karya golkar kpumelayani pemiluserentak2024,in,
2023-11-05,1721280505990242526,sang tum koalisi mrk tinggal perintah habis batang rokok kelaarr kartu tiket cawapres sang sutradara sabda ganti partai golong karya partai golong korea bisaa,in,
2023-11-06,1721552957391745188,yah dwipartai wujud era soeharto si wkwk kalah golong karya yah stabilitas partai soekarno sjahrir salah partai harap representasi golong,in,
2023-11-06,1721541736567312887,partai golong karya golkar gelar puncak raya hut 59 halaman kantor dpp partai golkar senin 6 11 2023 malam nbsp,in,Jakarta
2023-11-06,1721457291147505993,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar prabowogibranistimewa bersamaindonesiamaju prabowogemoy prabowo subianto,in,"DKI Jakarta, Indonesia"
2023-11-06,1721441301873533213,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar prabowogibranistimewa bersamaindonesiamaju prabowogemoy prabowo subianto,in,
2023-11-06,1721423070110556325,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar prabowogibranistimewa bersamaindonesiamaju prabowogemoy prabowo subianto,in,
2023-11-06,1721409470994280730,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar prabowogibranistimewa bersamaindonesiamaju prabowogemoy prabowo subianto,in,
2023-11-06,1721372009173807154,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar menatamasadepan bersamaprabowogibran prabowogemoy prabowo gibran,in,
2023-11-06,1721370958861410372,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar menatamasadepan bersamaprabowogibran prabowogemoy prabowo gibran,in,
2023-11-06,1721369736376877106,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar menatamasadepan bersamaprabowogibran prabowogemoy prabowo gibran,in,
2023-11-06,1721327810265128999,temanpemilih kawankpumakassar daftar calon dct anggota dprd kota makassar milu serentak 2024 partai golong karya,in,Kota Makassar
2023-11-07,1721989146640896349,koreksi dikit jaman golkar partai sbg golong mana pns karyawan bumn aparatur perintah perangkat desa tani buruh wajib anggota golkar,in,"Yogyakarta, Indonesia"
2023-11-07,1721834247852642459,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-07,1721778635827482893,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,"DKI Jakarta, Indonesia"
2023-11-07,1721778037677535606,presiden joko widodo nilai partai golong karya golkar hasil kaderisasi regenerasi banyak generasi muda anggota partai airlanggacenter,in,
2023-11-07,1721776560058093936,presiden joko widodo nilai partai golong karya golkar hasil kaderisasi regenerasi banyak generasi muda anggota partai airlanggacenter hamas freepalestinenow innalillahi israelterrorism,in,
2023-11-07,1721766822608085162,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-07,1721759877205479675,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-07,1721695103809658885,presiden ri jokowi nilai partai golong karya golkar hasil kaderisasi regenerasi banyak generasi muda anggota partai,in,Jakarta
2023-11-08,1722196413109661765,ketua partai golong karya golkar airlangga hartarto nilai putus mahkamah hormat mahkamah konstitusi mkmk duga langgar,in,
2023-11-08,1722187020364394816,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,
2023-11-08,1722127589173793255,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar menatamasadepan bersamaprabowogibran prabowogemoy prabowo gibran,in,
2023-11-08,1722125554378576120,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar menatamasadepan bersamaprabowogibran prabowogemoy prabowo gibran,in,
2023-11-08,1722122757226500346,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar menatamasadepan bersamaprabowogibran prabowogemoy prabowo gibran,in,
2023-11-09,1722604200776138810,temanpemilih daftar calon dct anggota dprd provinsi kalimantan barat milu 2024 partai golong karya golkar cek daftar lengkap video kpumelayani pemiluserentak2024,in,Pontianak
2023-11-10,1722890591867195594,pasang prabowo gibran usung partai gera indonesia raya gerindra partai golong karya golkar partai amanat nasional pan bersamaindonesiamaju prabowogibranistimewa prabowogemoy prabowo subianto,in,Jakarta Selatan 
2023-11-10,1722831190410064332,wakil partai politik golong karya kabupaten karangasem aju layan terima kepala sub rencana data informasi kpu karangasem i gusti agung bagus prihartana,in,"Jalan Bhayangkara 6, Amlapura"
